client_name,client_id,site_id,operational_start,open_year,proforma_y1,proforma_y2,proforma_y3,proforma_y4,proforma_y5,model5_y1,model5_y2,model5_y3,model5_y4,model5_y5,actual_y1,actual_y2,actual_y3,actual_y4,actual_y5,actual_mature_wash,model5_mature
Evanston Car Wash,evanstoncw_000480,1.0,08-2022,2022,2481.0,3275.0,3580.0,3674.0,3964.0,2723.0,3216.0,3298.0,3506.0,3349.0,2320,2306,3132.0,3731.0,,3304,3098.0
Jones,luvcarwash_000457,10.0,08-2022,2022,9519.0,12564.0,13735.0,14237.0,15361.0,6945.0,10332.0,10178.0,9786.0,8712.0,5066,6680,6817.0,5910.0,,6284,9825.0
Pelican Car Wash,pelicancw_000512,1.0,08-2023,2023,4916.0,6488.0,7163.0,7352.0,7933.0,4996.0,6455.0,6457.0,6711.0,6123.0,4387,5774,6341.0,,,6673,6139.0
Hercules/Elite Care Auto,elitecare_000384,1.0,09-2022,2022,3117.0,4114.0,4452.0,4615.0,4980.0,4214.0,5842.0,6276.0,6644.0,6097.0,5232,6329,6886.0,6644.0,,6142,5741.0
Dunn,luvcarwash_000457,42.0,09-2023,2023,7904.0,10433.0,11405.0,11822.0,12755.0,13653.0,18608.0,19599.0,21591.0,20297.0,6883,10931,12287.0,,,11265,17911.0
Thoroughbred Teays,thoroughbredcw_000304,18.0,09-2023,2023,6205.0,8189.0,8952.0,9188.0,9913.0,5276.0,6879.0,7409.0,8656.0,8483.0,3876,6559,7409.0,,,6974,6556.0
Virginia Car Wash Co.,napcowash_000528,1.0,09-2023,2023,4833.0,6379.0,6904.0,7157.0,7722.0,3795.0,4903.0,5254.0,6117.0,5989.0,1650,3009,3493.0,,,2896,4662.0
Cadillac Express Little York,cadillacexpresscw_000080,3.0,10-2020,2020,5662.0,7473.0,8250.0,8552.0,9228.0,8910.0,12566.0,13010.0,13770.0,12603.0,8870,12365,13955.0,12246.0,11536.0,11070,12184.0
Aladdin Car Wash,aladdincw_000434,1.0,10-2022,2022,8729.0,11521.0,12719.0,13185.0,14226.0,3340.0,4378.0,4606.0,5153.0,4920.0,2279,2855,2812.0,2319.0,,2449,4177.0
Dix Hill Car Wash,dixhillscw_000517,1.0,10-2022,2022,4189.0,5528.0,5984.0,6203.0,6692.0,1334.0,1549.0,1536.0,1558.0,1420.0,2684,2866,2626.0,2251.0,,2276,1487.0
