site_id,mae_site
951,2095.4201483900097
950,2093.4142391910345
1518,2092.6105694736093
789,2088.0916110574017
3449,2086.758736854657
1387,2083.5308563128924
3565,2078.631267845372
1,2071.111237797147
538,2066.763803351698
1229,2061.355233536459
1225,2059.364421757398
58,2056.1566634465307
1787,2049.4655705475025
3454,2042.4329575320673
26,2039.9205603546163
542,2037.663384986233
1398,2030.6303080139605
1037,2028.0606583160297
3535,1999.1889461476687
1243,1994.0368779028129
3552,1981.1416874741283
696,1977.7723826870258
577,1974.2973422265343
1266,1972.091109736187
1683,1966.8665035858876
431,1966.576798361826
19,1965.535586528528
530,1951.1684453398098
32,1943.8247677034256
773,1940.6522486934152
1693,1933.7214068220903
1201,1931.0413593056885
652,1913.2656263972779
746,1908.144076349431
421,1905.238754911413
3474,1903.1853184646466
979,1901.263013133822
1357,1896.6163326584267
1090,1894.423700734534
200,1884.1670554530126
543,1880.7884577125976
1098,1873.1163668691268
80,1869.0812927266845
1532,1868.7138285493238
1631,1868.250317344506
430,1864.6881982912553
1167,1862.5018640351736
1161,1861.9425146482145
3518,1861.610944773759
1475,1858.2511505153998
550,1850.3285771236792
1582,1846.4586117401884
3462,1846.0658734923095
3553,1833.5078104698493
1298,1829.05133232046
715,1827.0555337162539
686,1826.7676755139903
620,1819.4092813688628
1434,1816.6409471404988
316,1813.9721519080376
1021,1811.0773701429146
506,1806.6926296598676
392,1800.6915458858487
541,1789.9743523892455
1213,1782.937837047273
1175,1782.1174787117664
54,1778.9417732525908
1165,1773.7665485727885
1517,1770.0292511287196
1125,1767.0533800651683
1145,1760.1607096582138
233,1759.871486702431
1064,1758.8442639505017
249,1757.7150682722734
3446,1756.4832114053715
1549,1752.283197463487
1581,1752.1631835386963
3559,1747.2677146880123
422,1743.361491237923
1059,1741.2005787954038
15,1741.027297505856
3494,1738.8830803451929
306,1728.4870820548103
1611,1726.7379877971532
1221,1724.9007646718574
227,1716.829344145678
423,1714.1879286116798
657,1712.809851040023
1390,1712.2162203205169
38,1709.706453721723
98,1706.9972672658982
278,1703.5551660801602
11,1697.173008540827
3547,1688.6872885972446
511,1680.428966274125
784,1679.8868672534823
1019,1677.055710901717
1447,1674.2850239688007
1564,1670.2356157030165
481,1663.7888207336734
1756,1663.3258021044107
438,1662.4732245522948
1177,1660.1365985161506
484,1647.651866093438
482,1636.6532950285466
1622,1629.5301353604546
1181,1628.3562833314145
662,1620.393758829583
36,1618.8711967264528
1600,1618.8093323088633
3437,1615.3984992680016
385,1613.1947951034308
1615,1611.4424467340368
1155,1606.371113943437
1320,1601.532831976764
1097,1598.1955111643238
88,1592.6670854694812
277,1592.1750776217868
1023,1581.854784506494
1092,1581.2026708362584
566,1581.1852602761019
274,1575.1288506299463
1472,1574.1065077757517
1560,1573.0076541417013
544,1559.6741991057413
1214,1555.4420156439307
616,1554.317193662767
73,1547.7189866081292
67,1537.3756763661972
1379,1535.1951854767212
600,1534.528507664724
3409,1529.2356799749239
866,1528.198173980636
1443,1527.1804847288233
1420,1523.6265648448198
513,1522.082574939671
499,1517.7340775942787
1424,1514.6913351406629
503,1514.604224509383
1373,1513.318809150497
398,1499.0901712792113
1020,1498.5023476559834
1402,1498.2839775086566
1142,1497.7626638587226
4,1494.5633826182966
24,1493.9056091798293
649,1493.4758186182705
363,1491.9349860022041
1920,1491.1998686368806
1130,1489.2368547842252
1427,1485.2434646433196
739,1483.249684118456
676,1479.4507129898313
1135,1479.2369734657195
1650,1477.5519941647449
672,1476.2065808778516
317,1474.6635809955517
263,1467.7193175939526
915,1462.265021893336
1251,1460.9402881079795
835,1460.5736270776558
1159,1460.2341853555558
1081,1459.2538824952971
1227,1451.93116318178
627,1450.9324843119155
40,1450.8527613467431
1235,1450.5917093102125
1460,1445.54693374347
1461,1444.8346725852311
