zip5,city_sample,state_sample,n_site_days,latitude,longitude,state_geocode,county_name,has_lat_lon
34759,Kissimmee,FL,728,28.0946,-81.499,FL,Polk,True
34994,Stuart,FL,2184,27.1968,-80.2538,FL,Martin,True
35613,Athens,AL,728,34.8317,-86.8867,AL,Limestone,True
35750,Hazel Green,AL,728,34.9496,-86.5935,AL,Madison,True
35757,Madison,AL,728,34.7782,-86.7442,AL,Madison,True
35758,Madison,AL,728,34.7108,-86.7425,AL,Madison,True
35806,Huntsville,AL,728,34.7448,-86.6704,AL,Madison,True
35906,Rainbow City,AL,727,33.9318,-86.0898,AL,Etowah,True
36027,Eufaula,AL,728,31.9051,-85.1656,AL,Barbour,True
36116,Montgomery,AL,728,32.3129,-86.2421,AL,Montgomery,True
36420,Andalusia,AL,727,31.2971,-86.4905,AL,Covington,True
37013,Nashville,TN,728,36.0595,-86.6592,TN,Davidson,True
37055,Dickson,TN,728,36.076,-87.3995,TN,Dickson,True
37075,Hendersonville,TN,1456,36.3054,-86.6072,TN,Sumner,True
37135,Nolensville,TN,728,35.9307,-86.6829,TN,Williamson,True
37138,Old Hickory,TN,728,36.2416,-86.6117,TN,Davidson,True
37146,Pleasant View,TN,728,36.3783,-87.0395,TN,Cheatham,True
37204,Nashville,TN,728,36.1067,-86.7743,TN,Davidson,True
37207,Nashville,TN,728,36.2195,-86.774,TN,Davidson,True
37209,Nashville,TN,728,36.1546,-86.8602,TN,Davidson,True
37221,Nashville,TN,728,36.0662,-86.9639,TN,Davidson,True
37615,Johnson City,TN,728,36.3996,-82.4523,TN,Washington,True
37617,Blountville,TN,727,36.5356,-82.3656,TN,Sullivan,True
37664,Kingsport,TN,728,36.5208,-82.5168,TN,Sullivan,True
37862,Sevierville,TN,728,35.8452,-83.5386,TN,Sevier,True
37876,Sevierville,TN,728,35.866,-83.4793,TN,Sevier,True
38019,Covington,TN,728,35.5598,-89.6501,TN,Tipton,True
38125,Memphis,TN,728,35.0312,-89.8124,TN,Shelby,True
38632,Hernando,MS,728,34.8096,-90.0095,MS,DeSoto,True
38637,Horn Lake,MS,728,34.9519,-90.0507,MS,DeSoto,True
38668,Senatobia,MS,728,34.6323,-89.8855,MS,Tate,True
38671,Southaven,MS,728,34.9771,-89.9992,MS,DeSoto,True
38834,Corinth,MS,728,34.8759,-88.5916,MS,Alcorn,True
39553,Gautier,MS,728,30.398,-88.6412,MS,Jackson,True
39601,Brookhaven,MS,728,31.5858,-90.452,MS,Lincoln,True
39648,McComb,MS,728,31.1769,-90.4016,MS,Pike,True
40202,Louisville,KY,727,38.2507,-85.7476,KY,Jefferson,True
40216,Louisville,KY,728,38.1865,-85.8335,KY,Jefferson,True
40241,Louisville,KY,728,38.3045,-85.5815,KY,Jefferson,True
40299,Louisville,KY,663,38.1768,-85.5218,KY,Jefferson,True
40356,Nicholasville,KY,1320,37.8808,-84.5646,KY,Jessamine,True
40383,Versailles,KY,653,38.0413,-84.7287,KY,Woodford,True
40391,Winchester,KY,728,37.9872,-84.1789,KY,Clark,True
40505,Lexington,KY,723,38.0612,-84.4583,KY,Fayette,True
41240,Paintsville,KY,727,37.8242,-82.7945,KY,Johnson,True
41701,Hazard,KY,728,37.2983,-83.1912,KY,Perry,True
42066,Mayfield,KY,723,36.7327,-88.6506,KY,Graves,True
42301,Owensboro,KY,728,37.7513,-87.1554,KY,Daviess,True
42501,Somerset,KY,726,37.1029,-84.5443,KY,Pulaski,True
42503,Somerset,KY,1446,37.1566,-84.5248,KY,Pulaski,True
43220,COLUMBUS,OH,717,40.0495,-83.0669,OH,Franklin,True
43953,Wintersville,OH,728,40.3524,-80.6781,OH,Jefferson,True
44023,Chagrin Falls,OH,727,41.3872,-81.3042,OH,Geauga,True
45324,Fairborn,OH,682,39.8053,-84.0198,OH,Greene,True
45385,Xenia,OH,705,39.6842,-83.9369,OH,Greene,True
45440,CENTERVILLE,OH,710,39.6749,-84.1136,OH,Montgomery,True
45750,Marietta,OH,727,39.4281,-81.4644,OH,Washington,True
46319,Griffith,IN,728,41.5335,-87.4228,IN,Lake,True
46322,Highland,IN,728,41.55,-87.4569,IN,Lake,True
46350,La Porte,IN,728,41.5994,-86.7077,IN,LaPorte,True
46368,Portage,IN,1456,41.5672,-87.1757,IN,Porter,True
46383,Valparaiso,IN,728,41.4547,-87.0656,IN,Porter,True
46408,Gary,IN,728,41.5422,-87.3588,IN,Lake,True
47201,Columbus,IN,728,39.2055,-85.9317,IN,Bartholomew,True
48066,Roseville,MI,728,42.5034,-82.9387,MI,Macomb,True
48081,St. Clair Shores,MI,708,42.4941,-82.899,MI,Macomb,True
48188,Canton,MI,728,42.291,-83.465,MI,Wayne,True
48346,Clarkston,MI,728,42.7239,-83.4232,MI,Oakland,True
48430,Fenton,MI,728,42.7851,-83.7294,MI,Genesee,True
48750,Oscoda,MI,704,44.4465,-83.3619,MI,Iosco,True
48846,Ionia,MI,727,42.9859,-85.071,MI,Ionia,True
49331,Lowell,MI,727,42.955,-85.3653,MI,Kent,True
49548,Grand Rapids,MI,727,42.8697,-85.6628,MI,Kent,True
49601,Cadillac,MI,727,44.2504,-85.43,MI,Wexford,True
49829,Escanaba,MI,726,45.7659,-87.089,MI,Delta,True
53027,Hartford,WI,728,43.3157,-88.3707,WI,Washington,True
53149,Mukwonago,WI,727,42.8821,-88.3451,WI,Waukesha,True
53151,New Berlin,WI,727,42.9822,-88.0946,WI,Waukesha,True
53154,Oak Creek,WI,728,42.8892,-87.9027,WI,Milwaukee,True
53220,Greenfield,WI,728,42.9559,-87.9933,WI,Milwaukee,True
54143,Marinette,WI,726,45.0874,-87.6697,WI,Marinette,True
57401,Aberdeen,SD,728,45.4661,-98.4856,SD,Brown,True
57501,Pierre,SD,728,44.3695,-100.3211,SD,Hughes,True
58703,Minot,ND,728,48.3306,-101.3156,ND,Ward,True
59102,Billings,MT,728,45.7813,-108.5727,MT,Yellowstone,True
59901,Kalispell,MT,728,48.2028,-114.3039,MT,Flathead,True
60202,Evanston,IL,721,42.0302,-87.6865,IL,Cook,True
