cluster_id,role,client_name,client_id,site_id,address,state,lat,lon,opened,carwash_type,dist_from_entrant_km,wash_per_mo,wash_before_entry,wash_after_entry,decline_pct,google_maps_all_markers,google_earth
17.0,neighbor,Magnus Car Wash,magnuscarwash_000376,1.0,Kendall Dr,CA,34.181835,-117.342148,2022-08-01,Unknown,5.5,,2163.0,1046.0,51.7,"https://www.google.com/maps/dir/34.137543,-117.369807/34.136605,-117.336211/34.181835,-117.342148","https://earth.google.com/web/@34.151994,-117.349389,0a,11653d,35y,0h,0t,0r"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
18.0,entrant,Ocean Express,oceansexp_000393,1.0,9640 Federal Blvd,CO,39.8716138,-105.0244184,2022-01-01,Express Tunnel,0.0,11044.0,,,,"https://www.google.com/maps/dir/39.8716138,-105.0244184/39.8123306,-105.1342337/39.9581265,-104.9778694/39.785862,-105.006411","https://earth.google.com/web/@39.856983,-105.035733,0a,38345d,35y,0h,0t,0r"
18.0,neighbor,Colorado Auto Wash,187147colorado,1.0,12110 W 64th Ave,CO,39.8123306,-105.1342337,2020-01-01,Express Tunnel,11.5,,12628.0,13008.0,-3.0,"https://www.google.com/maps/dir/39.8716138,-105.0244184/39.8123306,-105.1342337/39.9581265,-104.9778694/39.785862,-105.006411","https://earth.google.com/web/@39.856983,-105.035733,0a,38345d,35y,0h,0t,0r"
18.0,neighbor,Living Water,livingwaters_000022,5.0,725 E. 144th Ave.,CO,39.9581265,-104.9778694,2020-11-01,Express Tunnel,10.4,,8962.0,1512.0,83.1,"https://www.google.com/maps/dir/39.8716138,-105.0244184/39.8123306,-105.1342337/39.9581265,-104.9778694/39.785862,-105.006411","https://earth.google.com/web/@39.856983,-105.035733,0a,38345d,35y,0h,0t,0r"
18.0,neighbor,Mega Car Wash,pcmat,1.0,7170 N Pecos St,CO,39.785862,-105.006411,2020-01-01,Flex,9.7,,3333.0,2607.0,21.8,"https://www.google.com/maps/dir/39.8716138,-105.0244184/39.8123306,-105.1342337/39.9581265,-104.9778694/39.785862,-105.006411","https://earth.google.com/web/@39.856983,-105.035733,0a,38345d,35y,0h,0t,0r"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
19.0,entrant,Champion Xpress CW,championxpresscw_000216,22.0,1300 E Historic Hwy 66,NM,35.5297089,-108.722052,2022-11-01,Express Tunnel,0.0,11159.0,,,,"https://www.google.com/maps/dir/35.5297089,-108.722052/35.53824,-108.758132","https://earth.google.com/web/@35.533974,-108.740092,0a,6599d,35y,0h,0t,0r"
19.0,neighbor,Champion Xpress CW,championxpresscw_000216,2.0,1060 US-491,NM,35.53824,-108.758132,2020-01-01,Express Tunnel,3.4,,16394.0,11179.0,31.8,"https://www.google.com/maps/dir/35.5297089,-108.722052/35.53824,-108.758132","https://earth.google.com/web/@35.533974,-108.740092,0a,6599d,35y,0h,0t,0r"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
20.0,entrant,Dirty Dog's Car Wash,dirtydogs_000082,7.0,10 W New Haven Ave,FL,28.078848,-80.621854,2022-06-01,Express Tunnel,0.0,6175.0,,,,"https://www.google.com/maps/dir/28.078848,-80.621854/28.1392348,-80.671077/28.087322,-80.671971","https://earth.google.com/web/@28.101802,-80.654967,0a,14856d,35y,0h,0t,0r"
20.0,neighbor,Pristine Car Wash,pristine_000034,1.0,1989 N Wickham Rd,FL,28.1392348,-80.671077,2020-01-01,Unknown,8.3,,2089.0,1849.0,11.5,"https://www.google.com/maps/dir/28.078848,-80.621854/28.1392348,-80.671077/28.087322,-80.671971","https://earth.google.com/web/@28.101802,-80.654967,0a,14856d,35y,0h,0t,0r"
20.0,neighbor,Shine Shack Car Wash,shineshack_000021,1.0,1195 S Wickham Rd,FL,28.087322,-80.671971,2020-01-01,Flex,5.0,,1208.0,683.0,43.5,"https://www.google.com/maps/dir/28.078848,-80.621854/28.1392348,-80.671077/28.087322,-80.671971","https://earth.google.com/web/@28.101802,-80.654967,0a,14856d,35y,0h,0t,0r"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
21.0,entrant,Luv Car Wash,luvcarwash_000457,37.0,5909 Ogeechee Rd,GA,31.997837,-81.252005,2023-07-01,Express Tunnel,0.0,5160.0,,,,"https://www.google.com/maps/dir/31.997837,-81.252005/32.081626,-81.279992/32.0931944,-81.2733835","https://earth.google.com/web/@32.057552,-81.268460,0a,21956d,35y,0h,0t,0r"
21.0,neighbor,Magnolia,magnolia_000414,23.0,2001 Pooler Pkwy,GA,32.081626,-81.279992,2022-10-01,Express Tunnel,9.7,,5887.0,8300.0,-41.0,"https://www.google.com/maps/dir/31.997837,-81.252005/32.081626,-81.279992/32.0931944,-81.2733835","https://earth.google.com/web/@32.057552,-81.268460,0a,21956d,35y,0h,0t,0r"
21.0,neighbor,Paradise Bay Express,paradisebay_000076,1.0,1545 Pooler Pkwy,GA,32.0931944,-81.2733835,2020-01-01,Express Tunnel,10.8,,5462.0,376.0,93.1,"https://www.google.com/maps/dir/31.997837,-81.252005/32.081626,-81.279992/32.0931944,-81.2733835","https://earth.google.com/web/@32.057552,-81.268460,0a,21956d,35y,0h,0t,0r"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
22.0,entrant,Magnolia,magnolia_000414,7.0,4860 N Wickham Rd,FL,28.187874,-80.6726589,2022-07-01,Express Tunnel,0.0,9642.0,,,,"https://www.google.com/maps/dir/28.187874,-80.6726589/28.1392348,-80.671077/28.087322,-80.671971","https://earth.google.com/web/@28.138144,-80.671902,0a,18453d,35y,0h,0t,0r"
22.0,neighbor,Pristine Car Wash,pristine_000034,1.0,1989 N Wickham Rd,FL,28.1392348,-80.671077,2020-01-01,Unknown,5.4,,2029.0,1880.0,7.3,"https://www.google.com/maps/dir/28.187874,-80.6726589/28.1392348,-80.671077/28.087322,-80.671971","https://earth.google.com/web/@28.138144,-80.671902,0a,18453d,35y,0h,0t,0r"
22.0,neighbor,Shine Shack Car Wash,shineshack_000021,1.0,1195 S Wickham Rd,FL,28.087322,-80.671971,2020-01-01,Flex,11.2,,1192.0,674.0,43.4,"https://www.google.com/maps/dir/28.187874,-80.6726589/28.1392348,-80.671077/28.087322,-80.671971","https://earth.google.com/web/@28.138144,-80.671902,0a,18453d,35y,0h,0t,0r"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
23.0,entrant,Magnolia,magnolia_000414,2.0,2106 Skibo Rd,NC,35.0522632,-78.9744552,2022-04-01,Express Tunnel,0.0,12080.0,,,,"https://www.google.com/maps/dir/35.0522632,-78.9744552/35.1071029,-78.8792549","https://earth.google.com/web/@35.079683,-78.926855,0a,17392d,35y,0h,0t,0r"
23.0,neighbor,Five Star,fivestar_000150,1.0,3505 Ramsey St,NC,35.1071029,-78.8792549,2020-01-01,Express Tunnel,10.6,,12451.0,9447.0,24.1,"https://www.google.com/maps/dir/35.0522632,-78.9744552/35.1071029,-78.8792549","https://earth.google.com/web/@35.079683,-78.926855,0a,17392d,35y,0h,0t,0r"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
24.0,entrant,Luv Car Wash,luvcarwash_000457,45.0,420 Pooler Pkwy,GA,32.137208,-81.254417,2023-12-01,Express Tunnel,0.0,10285.0,,,,"https://www.google.com/maps/dir/32.137208,-81.254417/32.081626,-81.279992/32.197823,-81.198283","https://earth.google.com/web/@32.138886,-81.244231,0a,25055d,35y,0h,0t,0r"
24.0,neighbor,Magnolia,magnolia_000414,23.0,2001 Pooler Pkwy,GA,32.081626,-81.279992,2022-10-01,Express Tunnel,6.6,,6782.0,8263.0,-21.8,"https://www.google.com/maps/dir/32.137208,-81.254417/32.081626,-81.279992/32.197823,-81.198283","https://earth.google.com/web/@32.138886,-81.244231,0a,25055d,35y,0h,0t,0r"
24.0,neighbor,Magnolia,magnolia_000414,24.0,38 Magellan Blvd,GA,32.197823,-81.198283,2022-10-01,Express Tunnel,8.6,,8598.0,9131.0,-6.2,"https://www.google.com/maps/dir/32.137208,-81.254417/32.081626,-81.279992/32.197823,-81.198283","https://earth.google.com/web/@32.138886,-81.244231,0a,25055d,35y,0h,0t,0r"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
25.0,entrant,Varsity Carwash,varsitycarwash_000227,3.0,1016 S Duff Ave,IA,42.013066,-93.609066,2022-03-01,Express Tunnel,0.0,7193.0,,,,"https://www.google.com/maps/dir/42.013066,-93.609066/42.0232564,-93.669361","https://earth.google.com/web/@42.018161,-93.639213,0a,9162d,35y,0h,0t,0r"
25.0,neighbor,Varsity Carwash,varsitycarwash_000227,1.0,3705 Lincoln Way,IA,42.0232564,-93.669361,2020-05-01,Express Tunnel,5.1,,9549.0,7285.0,23.7,"https://www.google.com/maps/dir/42.013066,-93.609066/42.0232564,-93.669361","https://earth.google.com/web/@42.018161,-93.639213,0a,9162d,35y,0h,0t,0r"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
26.0,entrant,Sud Stop,sudstop_000639,8.0,17235 Panama City Beach Pkwy,FL,30.230715,-85.891628,2024-06-01,Express Tunnel,0.0,5697.0,,,,"https://www.google.com/maps/dir/30.230715,-85.891628/30.1999901,-85.8171218","https://earth.google.com/web/@30.215353,-85.854375,0a,13399d,35y,0h,0t,0r"
26.0,neighbor,Magnolia,magnolia_000414,12.0,11640 Panama City Beach Pkwy,FL,30.1999901,-85.8171218,2022-07-01,Unknown,7.9,,10070.0,7758.0,23.0,"https://www.google.com/maps/dir/30.230715,-85.891628/30.1999901,-85.8171218","https://earth.google.com/web/@30.215353,-85.854375,0a,13399d,35y,0h,0t,0r"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
27.0,entrant,Hogg Wash,hoggwash_000092,3.0,4205 W Broad St,VA,37.574903,-77.485878,2021-09-01,Express Tunnel,0.0,4971.0,,,,"https://www.google.com/maps/dir/37.574903,-77.485878/37.550852,-77.340055","https://earth.google.com/web/@37.562877,-77.412967,0a,21194d,35y,0h,0t,0r"
27.0,neighbor,Hogg Wash,hoggwash_000092,1.0,6100 Nine Mile Rd,VA,37.550852,-77.340055,2020-01-01,Express Tunnel,13.1,,6673.0,5207.0,22.0,"https://www.google.com/maps/dir/37.574903,-77.485878/37.550852,-77.340055","https://earth.google.com/web/@37.562877,-77.412967,0a,21194d,35y,0h,0t,0r"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
28.0,entrant,Magnolia,magnolia_000414,24.0,38 Magellan Blvd,GA,32.197823,-81.198283,2022-10-01,Express Tunnel,0.0,8012.0,,,,"https://www.google.com/maps/dir/32.197823,-81.198283/32.0931944,-81.2733835","https://earth.google.com/web/@32.145509,-81.235833,0a,21922d,35y,0h,0t,0r"
28.0,neighbor,Paradise Bay Express,paradisebay_000076,1.0,1545 Pooler Pkwy,GA,32.0931944,-81.2733835,2020-01-01,Express Tunnel,13.6,,5899.0,4642.0,21.3,"https://www.google.com/maps/dir/32.197823,-81.198283/32.0931944,-81.2733835","https://earth.google.com/web/@32.145509,-81.235833,0a,21922d,35y,0h,0t,0r"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
