client_id,site_id,address1,company_name,file_name,matched_address_in_file,year_5_max_hourly[car_wash_volume_estimate],tunnel_length_predicted,tunnel_length_actual,project_cost_total_investment[car_wash_acquisition_budget],project_cost_owner_investment[car_wash_acquisition_budget],project_cost_bank_debt_total[car_wash_acquisition_budget],total_debt_monthly_payment[bank_debt_allocation],2020_volume,2021_volume,2022_volume,2023_volume,2024_volume,2025_volume,2026_volume,operational_start
tiptopcw_000668,7,200 Clifty Dr,Kiser Carwash,Sonny's Express Exterior Proforma_0695w00000D8vi4AAB.xlsx,200 Clifty Drive,81.24,30.8564,,0.0,0.0,0.0,0.0,,,,,,2801.0,23088.0,12-2025
kiwicw_000382,4,2080 SW Gatlin Blvd,Kiwi Car Wash,Sonny's Express Exterior Proforma_069f2000007OHDbAAO.xlsx,"2080 SW Gatlin Blvd., Port St. Lucie, FL 34953, Address Line 3",117.45,41.8927,,0.0,0.0,0.0,0.0,,,,,,8.0,2254.0,11-2025
kiwicw_000382,4,2080 SW Gatlin Blvd,Kiwi Car Wash,Sonny's Express Exterior Proforma_069f2000007OHDbAAO.xlsx,2080 SW Gatlin Blvd.,117.45,41.8927,,0.0,0.0,0.0,0.0,,,,,,8.0,2254.0,11-2025
legacycw_000711,1,2300 S McKenzie St,Legacy Car wash,"Sonny's Express Exterior Proforma - 2300 S McKenzie St, Foley, AL 36535_069Uc00000GepAgIAJ.pdf","2300 S McKenzie St, Foley, AL 36535",61.0,24.6876,,750000.0,150000.0,600000.0,5035.18,,,,,192.0,11045.0,5502.0,12-2024
shortmancw_000600,5,2121 S Zero St,lets go car wash,Sonny's Express Exterior Proforma_0695w00000Lzv2xAAB.xlsx,2121 S Zero St.,96.63,35.5471,,0.0,0.0,0.0,0.0,,,,,5170.0,16549.0,,06-2024
shortmancw_000600,5,2121 S Zero St,lets go car wash,Sonny's Express Exterior Proforma_0695w00000Lzv2xAAB.xlsx,"2121 S Zero St., Fort Smith, AR 72901, Average Daily Wash Hours",96.63,35.5471,,0.0,0.0,0.0,0.0,,,,,5170.0,16549.0,,06-2024
shortmancw_000600,5,2121 S Zero St,lets go car wash,Sonny's Express Exterior Proforma_0695w00000Lzv2xAAB.xlsx,"2121 S Zero St., Fort Smith, AR 72901",96.63,35.5471,,0.0,0.0,0.0,0.0,,,,,5170.0,16549.0,,06-2024
licketysplitexp_000558,1,1245 Fremont St,Lickety Split Car Wash,"Sonny's Express Exterior Proforma 1245 Fremont St., Fenley_0695w00000QAl3eAAD.xlsx",1245 Fremont St.,83.0,31.3929,,0.0,0.0,0.0,0.0,,,,,39434.0,104095.0,52993.0,05-2024
licketysplitexp_000558,1,1245 Fremont St,Lickety Split Car Wash,"Sonny's Express Exterior Proforma 1245 Fremont St., Fenley_0695w00000QAl3eAAD.xlsx","1245 Fremont St., Fernley, NV 89408, Average Daily Wash Hours",83.0,31.3929,,0.0,0.0,0.0,0.0,,,,,39434.0,104095.0,52993.0,05-2024
licketysplitexp_000558,1,1245 Fremont St,Lickety Split Car Wash,"Sonny's Express Exterior Proforma 1245 Fremont St., Fenley_0695w00000QAl3eAAD.xlsx","1245 Fremont St., Fenley",83.0,31.3929,,0.0,0.0,0.0,0.0,,,,,39434.0,104095.0,52993.0,05-2024
licketysplitexp_000558,1,1245 Fremont St,Lickety Split Car Wash,"Sonny's Express Exterior Proforma 1245 Fremont St., Fenley_0695w00000QAl3eAAD.xlsx","1245 Fremont St., Fernley, NV 89408",83.0,31.3929,,0.0,0.0,0.0,0.0,,,,,39434.0,104095.0,52993.0,05-2024
licketysplitexp_000558,1,1245 Fremont St,Lickety Split Car Wash,Sonny's Express Exterior Proforma_0695w00000GMHFQAA5.xlsx,1245 Fremont St.,90.82,33.7763,,0.0,0.0,0.0,0.0,,,,,39434.0,104095.0,52993.0,05-2024
