loc_group,ll_key,dup_type,n_sites_here,n_clients_here,client_name,client_id,site_id,lat,lon,operational_start,first_month,last_month,months_active,mem_wash_count,ret_wash_count,total_washes
66,"33.9355,-84.1849",cross_operator,2,2,Blue Sky Express,blueskyexpress_000138,1,33.9355026,-84.1848693,01-2020,2020-01,2023-12,48,211968,214591,426559
66,"33.9355,-84.1849",cross_operator,2,2,Sud Stop,sudstop_000639,3,33.9355026,-84.1848693,04-2024,2024-04,2026-05,26,206766,76822,283588
67,"33.9542,-78.0505",cross_operator,2,2,Carolina Shores,carolinashores_000338,1,33.954165,-78.050508,08-2021,2021-08,2022-09,14,46825,50375,97200
67,"33.9542,-78.0505",cross_operator,2,2,Magnolia,magnolia_000414,16,33.954165,-78.050508,09-2022,2022-09,2026-05,45,249601,144096,393697
68,"33.9705,-84.4876",cross_operator,2,2,Blue Penguin Car Wash,bluepenguincw_000433,3,33.9705278,-84.4876273,03-2022,2022-03,2026-05,51,90053,100592,190645
68,"33.9705,-84.4876",cross_operator,2,2,Dirty Dog's Car Wash,dirtydogs_000082,5,33.9705278,-84.4876273,07-2020,2020-07,2022-03,21,27941,39326,67267
69,"34.2062,-84.8162",cross_operator,2,2,Luv Car Wash,luvcarwash_000457,12,34.2062036,-84.8162081,07-2022,2022-07,2026-05,47,234536,118906,353442
69,"34.2062,-84.8162",cross_operator,2,2,Rocket Wash,rocketwash_000183,1,34.2062036,-84.8162081,01-2020,2020-01,2022-07,31,116903,128961,245864
70,"34.2193,-78.0164",cross_operator,2,2,Carolina Shores,carolinashores_000338,2,34.21931,-78.016423,08-2021,2021-08,2022-09,14,78166,86781,164947
70,"34.2193,-78.0164",cross_operator,2,2,Magnolia,magnolia_000414,17,34.21931,-78.016423,09-2022,2022-09,2026-05,45,291926,225715,517641
71,"34.4901,-85.3419",cross_operator,2,2,Luv Car Wash,luvcarwash_000457,13,34.490126,-85.3418975,07-2022,2022-07,2026-05,47,176935,91872,268807
71,"34.4901,-85.3419",cross_operator,2,2,Rocket Wash,rocketwash_000183,2,34.490126,-85.3418975,07-2020,2020-07,2022-07,25,63940,70730,134670
72,"34.7206,-87.6681",cross_operator,2,2,Extreme Clean Auto Wash,extreemeclean_000261,1,34.7205938,-87.6680577,09-2020,2020-09,2022-09,25,29997,70375,100372
72,"34.7206,-87.6681",cross_operator,2,2,Wash N Roll,washnroll_000485,6,34.7205938,-87.6680577,09-2022,2022-09,2026-05,45,98896,67488,166384
73,"34.7406,-85.272",cross_operator,2,2,Luv Car Wash,luvcarwash_000457,9,34.740564,-85.271989,06-2022,2022-06,2026-05,48,220444,124247,344691
73,"34.7406,-85.272",cross_operator,2,2,Rocket Wash,rocketwash_000183,4,34.740564,-85.271989,04-2022,2022-04,2022-04,1,0,2,2
74,"34.8219,-82.2837",cross_operator,2,2,Heroes Car Wash,carolinacarwash_000283,7,34.8218738,-82.2836692,06-2022,2022-06,2023-08,15,12188,8567,20755
74,"34.8219,-82.2837",cross_operator,2,2,Colonial Car Wash,colonialcw_000420,6,34.8218738,-82.2836692,08-2023,2023-08,2026-05,34,8313,104153,112466
