client_id_location_id,operational_start_date,latitude,longitude,state,region,city,zip,cohort,cbsa_id,cbsa_name,h3_id
championxpress_8070f682be4c2669f62574b412826ae8ac1cabba57ce5a6be0ddfed64346e062,2024-01-01,35.0948277,-106.6718713,NM,West,ALBUQUERQUE,87104-1606,young,10740,"Albuquerque, NM",8848dd496dfffff
championxpress_8a93424a81fb1f43b818d1d83a1284076adbd13f2ad6d25ab4281dd938b9cc64,2024-01-01,31.656119,-106.291424,TX,South,EL PASO,79927-1601,young,21340,"El Paso, TX",8848c6d537fffff
championxpress_8fdbd5859785d4ac423189ff87543aa19517ec49c1404de19652fb416b86c1fb,2024-01-01,35.6184151,-105.2251685,NM,West,LAS VEGAS,87701-4987,young,29780,"Las Vegas, NM",8848da80d3fffff
championxpress_9376436f8552692726156a130a2ec99cb465063afef66359c8e933aca5469244,2024-01-01,35.05899,-106.623743,NM,West,ALBUQUERQUE,87106-4174,young,10740,"Albuquerque, NM",8848d894e7fffff
championxpress_95bc6dd66bb2d0e21ddf249710bb10f2c361d2f1af39172db11a288f11ac3842,2024-01-01,35.642658,-106.013367,NM,West,GALLUP,87301-4932,young,42140,"Santa Fe, NM",8848d87265fffff
championxpress_a0a9cf9eb53d37f67808db56d1ff21b9de94ec054a827a7a8d717cb0740dde5b,2024-01-01,36.0110015,-106.0633355,NM,West,ESPANOLA,87532-9510,young,21580,"Española, NM",8848d86ec3fffff
championxpress_a528072b627adb7ee23ac75a3fb241964db1c18f597bf93f47ca76e398110ac5,2024-01-01,38.219339,-104.638418,CO,West,PUEBLO,81005-3167,young,39380,"Pueblo, CO",88268802e1fffff
championxpress_a8dc29f7a44c51f4703ef394ef79d2e32a30c58a1da1bfec96783ec0e27bf076,2024-01-01,40.073116,-104.816729,CO,West,FORT LUPTON,80621-1220,young,24540,"Greeley, CO",8826aa78e1fffff
championxpress_b54afd63bc1cd55e545a528fad0ebcbee3328399d2b1dc8c2f6e704b4c2a00d8,2024-01-01,38.4462829,-105.1920469,CO,West,CANON CITY,81212-9326,young,15860,"Cañon City, CO",882688c833fffff
championxpress_bb0870a5166823d63e81c2e51b88796ddc26aa4a689aadfb2598e342887a128b,2024-01-01,35.53824,-108.758132,NM,West,GALLUP,87301-5354,young,23700,"Gallup, NM",8848ca1563fffff
