client_id_location_id,operational_start_date,latitude,longitude,state,region,city,zip,cohort,cbsa_id,cbsa_name,h3_id
luvcarwash_67,2024-09-20,38.4452886,-122.7323316,CA,West,Santa Rosa,95401,young,42220,"Santa Rosa, CA",8828303599fffff
luvcarwash_68,2024-10-02,38.4266968,-122.7142944,CA,West,Santa Rosa,95404,young,42220,"Santa Rosa, CA",88283035c3fffff
luvcarwash_69,2024-10-29,39.9863188,-75.8072989,PA,Northeast,Coatesville,19320,young,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",882aac10e9fffff
luvcarwash_70,2024-11-15,40.0419556,-75.5325945,PA,Northeast,Frazer,19355,young,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",882aac8e1bfffff
mach1expresswash_14,2024-02-01,41.7205024,-83.6060366,OH,Midwest,Toledo,43613,young,45780,"Toledo, OH",882a94d34dfffff
mach1expresswash_18,2024-10-29,34.1542831,-86.8420462,AL,South,Cullman,35055,young,18980,"Cullman, AL",8844ebb6edfffff
magicmex_1,2024-11-14,40.925118,-74.163713,NJ,Northeast,Paterson,07501,young,35620,"New York-Newark-Jersey City, NY-NJ-PA",882a1055b9fffff
magnolia_60,2024-01-16,30.1359812,-81.7776694,FL,South,Orange Park,32065,young,27260,"Jacksonville, FL",8844f01a17fffff
magnolia_61,2024-02-28,30.1571305,-85.590676,FL,South,Callaway,32404,young,37460,"Panama City, FL",8844e54339fffff
magnolia_62,2024-01-24,29.640588,-82.421902,FL,South,Gainesville,32607,young,23540,"Gainesville, FL",8844f42741fffff
magnolia_63,2024-02-28,26.700906,-81.847401,FL,South,North Fort Myers,33917,young,15980,"Cape Coral-Fort Myers, FL",8844137417fffff
magnolia_64,2024-02-28,38.2184249,-85.5380479,KY,South,Jeffersontown,40299,young,31140,"Louisville/Jefferson County, KY-IN",88266d48d3fffff
magnolia_65,2024-04-12,26.9482289,-82.0002227,FL,South,Punta Gorda,33982,young,39460,"Punta Gorda, FL",8844132dadfffff
magnolia_66,2024-03-14,33.8528886,-79.076195,SC,South,Conway,29526,young,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",882ad35197fffff
magnolia_67,2024-03-15,33.6428071,-78.9723316,SC,South,Myrtle Beach,29575,young,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",882ad344c7fffff
magnolia_68,2024-05-01,37.1718468,-76.4734923,VA,South,Yorktown,23692,young,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",882af601a1fffff
magnolia_70,2024-06-26,30.3178306,-81.5589334,FL,South,Jacksonville,32225,young,27260,"Jacksonville, FL",8844f04631fffff
