n_pre_nbrs,n_pre_nbrs_5km,n_matured_pre_nbrs,nbr_mat_min_strict,nbr_mat_std_strict,nbr_mat_median_strict,nbr_mat_cv_strict,local_recent_wash_mean,op_n_sites_preT,op_n_prior_matured,op_track_mean_strict,op_track_goodfrac_strict,site_key,client_id,t_open,y,realized_mature,express_like,group,oof_prob
7,0,2,8858.76923076923,1073.4424866705017,9617.807692307691,0.1116098929207161,7092.166666666666,35,6,10040.564102564103,1.0,championxpresscw_000216::43,championxpresscw_000216,2023-07-01,0,6147.2307692307695,True,championxpresscw_000216,0.32521596969864985
6,1,4,4082.0,5268.253429247037,11108.346153846154,0.4897905816195158,6919.805555555556,1,0,,,drivethruexp_000568::1,drivethruexp_000568,2023-07-01,0,7856.615384615385,True,drivethruexp_000568,0.5149994599063838
5,1,1,6094.538461538462,,6094.538461538462,,5289.583333333333,36,0,,,luvcarwash_000457::37,luvcarwash_000457,2023-07-01,0,6121.7692307692305,True,luvcarwash_000457,0.30308230334960096
11,0,2,4337.153846153846,3473.9612231401866,6793.615384615385,0.5113567705064984,7192.2666666666655,14,0,,,mrcleancw_000329::16,mrcleancw_000329,2023-07-01,0,6460.615384615385,True,mrcleancw_000329,0.4451883893684574
2,2,0,,,,,9902.333333333334,1,0,,,piratescove_000559::1,piratescove_000559,2023-07-01,0,6205.384615384615,True,piratescove_000559,0.4973906954254811
8,2,4,4082.0,5268.253429247037,11108.346153846154,0.4897905816195158,8080.354166666666,1,0,,,advanceautodetailing_000566::1,advanceautodetailing_000566,2023-08-01,1,10222.46153846154,True,advanceautodetailing_000566,0.5080932831808012
6,2,0,,,,,6076.11111111111,5,0,,,bigpeachcw_000300::7,bigpeachcw_000300,2023-08-01,0,4970.2307692307695,True,bigpeachcw_000300,0.4073455868744724
7,0,3,2372.923076923077,4618.5676058474055,10168.153846153846,0.5997261028289188,7546.321428571428,12,0,,,clearwater_000397::12,clearwater_000397,2023-08-01,1,8253.692307692309,True,clearwater_000397,0.502567199092098
2,0,0,,,,,10229.75,12,0,,,clearwater_000397::14,clearwater_000397,2023-08-01,1,16953.46153846154,True,clearwater_000397,0.42836396702941054
7,1,0,,,,,6727.0,2,0,,,colonialcw_000420::3,colonialcw_000420,2023-08-01,0,5932.692307692308,True,colonialcw_000420,0.4293369995512217
7,1,0,,,,,6727.0,2,0,,,colonialcw_000420::4,colonialcw_000420,2023-08-01,0,4416.7692307692305,True,colonialcw_000420,0.4293369995512217
8,1,0,,,,,7639.729166666666,2,0,,,colonialcw_000420::5,colonialcw_000420,2023-08-01,0,6313.153846153846,True,colonialcw_000420,0.45360646627397166
8,1,0,,,,,7136.375,2,0,,,colonialcw_000420::6,colonialcw_000420,2023-08-01,0,3751.0,False,colonialcw_000420,0.44018743792521764
12,1,4,2474.6153846153848,8952.439433178743,15065.807692307691,0.63206102536692,14741.181818181818,3,0,,,expresswash_000431::4,expresswash_000431,2023-08-01,1,11782.615384615385,True,expresswash_000431,0.8054795877802143
4,0,1,2446.5384615384614,,2446.5384615384614,,8531.25,15,0,,,mrcleancw_000329::15,mrcleancw_000329,2023-08-01,0,2690.4615384615386,False,mrcleancw_000329,0.48287817885654866
5,0,3,4337.153846153846,2864.9742845072055,8175.2307692307695,0.3827935671047789,6356.533333333333,15,0,,,mrcleancw_000329::17,mrcleancw_000329,2023-08-01,0,1172.3846153846157,False,mrcleancw_000329,0.4107054773157458
5,0,4,3500.153846153846,4441.3717131399935,10766.307692307691,0.4631475989124359,11159.666666666668,1,0,,,presidentialcw_000589::2,presidentialcw_000589,2023-08-01,0,2288.0,False,presidentialcw_000589,0.5038291883062751
7,1,3,1955.4615384615383,3295.0073693548184,5036.076923076923,0.6364105318134622,3609.430555555556,2,1,8697.153846153846,1.0,sonoranexpress_000053::2,sonoranexpress_000053,2023-08-01,0,2229.846153846154,False,sonoranexpress_000053,0.3771780678480468
4,0,0,,,,,14264.541666666668,1,0,,,streetxpress_000577::1,streetxpress_000577,2023-08-01,0,2437.153846153846,False,streetxpress_000577,0.5905667559695805
5,0,1,3212.230769230769,,3212.230769230769,,10228.313333333334,15,1,20018.53846153846,1.0,woodys_000289::18,woodys_000289,2023-08-01,1,13401.153846153846,True,woodys_000289,0.45913850703309794
6,1,2,3212.230769230769,2207.532978035079,4773.192307692308,0.4624856565023573,9719.511111111113,15,1,20018.53846153846,1.0,woodys_000289::19,woodys_000289,2023-08-01,1,15635.0,True,woodys_000289,0.40585220628118834
10,0,6,620.5,5432.370790889922,6345.0,0.7846111231378412,9942.555555555557,22,0,,,bluewave_000567::27,bluewave_000567,2023-09-01,1,9139.076923076924,True,bluewave_000567,0.5968362402351337
10,0,6,620.5,5432.370790889922,6345.0,0.7846111231378412,9942.555555555557,22,0,,,bluewave_000567::28,bluewave_000567,2023-09-01,1,8329.0,True,bluewave_000567,0.5968362402351337
10,0,6,620.5,5432.370790889922,6345.0,0.7846111231378412,9942.555555555557,22,0,,,bluewave_000567::29,bluewave_000567,2023-09-01,1,17573.46153846154,True,bluewave_000567,0.5968362402351337
10,0,6,620.5,5432.370790889922,6345.0,0.7846111231378412,9942.555555555557,22,0,,,bluewave_000567::30,bluewave_000567,2023-09-01,1,19529.69230769231,True,bluewave_000567,0.5968362402351337
10,0,6,620.5,5432.370790889922,6345.0,0.7846111231378412,9942.555555555557,22,0,,,bluewave_000567::31,bluewave_000567,2023-09-01,1,9269.076923076924,True,bluewave_000567,0.5968362402351337
10,0,6,620.5,5432.370790889922,6345.0,0.7846111231378412,9942.555555555557,22,0,,,bluewave_000567::32,bluewave_000567,2023-09-01,1,9596.923076923076,True,bluewave_000567,0.5968362402351337
2,0,0,,,,,6002.166666666666,23,10,11545.546153846157,0.9,caliberocala_000153::22,caliberocala_000153,2023-09-01,0,6946.153846153846,True,caliberocala_000153,0.4651832252327482
