key,n_excluded,pred_y1,pred_y2,pred_y3,pred_y4,pred_y5,plateau,model_plateau,anchor_level,n_local_mature,proxy_used,region,mature,mean_y1,mean_y2,mean_y3,mean_y4,mean_y5,size_y1,size_y2,size_y3,size_y4,size_y5,open_idx,open_year,cal,ramp1,ramp2,ramp3,ramp4,ramp5,cal_y1,cal_y2,cal_y3,cal_y4,cal_y5
magicbrush_000533::3,1,3070.957322543003,3684.473512909208,3480.8278305469435,3049.878112359231,2949.1204796118527,3712.5922183938096,3712.5922183938096,2009.076923076923,1,False,West,1605.5,1429.4166666666667,2036.1666666666667,1560.0833333333333,,,12.0,12.0,12.0,,,24283,2023,2141.6742490847764,0.8271733446318543,0.9924261260514178,0.9375734327355955,0.821495583934265,0.794356154979967,1758.7173328085235,2197.1366914039377,2165.464884884498,,
magicbrush_000533::4,1,5626.618262833867,7613.570145275528,7759.42226307292,7454.376899336319,7423.329161419114,7849.487329285761,7849.487329285761,5756.076923076924,2,False,West,8681.0,5760.833333333333,7922.25,8316.916666666666,8668.666666666666,,12.0,12.0,12.0,3.0,,24280,2023,7295.48344350389,0.7168134716061569,0.9699448926899918,0.9885259938089439,0.9496641738021133,0.9457087896330901,5191.661074695422,7619.333133858076,7564.493202988551,,
magicbrush_000533::6,1,3965.515216321168,5099.828801365994,5192.327495189613,5058.748925649881,5129.0812457436,5209.242856669284,5568.532127974585,5834.384615384615,3,True,West,3422.0,2702.3333333333335,3278.0833333333335,3393.1428571428573,,,12.0,12.0,7.0,,,24288,2023,4306.020052301989,0.7612459863037873,0.978996169248817,0.9967528176464234,0.9711102102243652,0.9846116579450592,3236.0556707902115,4456.118125105138,,,
magiccitycw_000357::1,1,5256.291682384965,5805.975691379127,5876.242072472931,5703.131643127788,5729.225060469468,6087.967993995444,6087.967993995444,,0,False,Midwest,6332.5,5542.0,5616.5,6159.833333333333,5933.416666666667,7036.375,12.0,12.0,12.0,12.0,8.0,24263,2021,4631.142932235727,0.8633901636094735,0.9536803900916618,0.9652222347864939,0.9367873892820693,0.9410734527711375,3909.2386758946122,4707.145663480665,4732.078283401849,4607.052145460946,
magictunnel_000072::14,1,6317.202775368912,7353.68280414208,7451.218325745723,7122.860560436923,7013.053725595991,7763.752362243188,7763.752362243188,10644.96153846154,2,False,Midwest,5153.5,4470.75,6068.333333333333,3189.0,,,12.0,12.0,5.0,,,24254,2021,6544.472269346699,0.8136790665929582,0.9471815252511961,0.95974446093652,0.917450767115775,0.9033072409292693,5294.752108312057,6510.910501039389,,,
magictunnel_000072::15,1,6423.712885808346,7933.7057693142015,8121.700941198578,8167.042140934958,8140.521887508886,8268.61656520289,8268.61656520289,,0,False,South,7690.0,8475.416666666666,8681.166666666666,1984.25,,,12.0,12.0,4.0,,,24258,2021,8552.309859289075,0.7768787964895462,0.9594961511097145,0.9822321397000578,0.9877156688223528,0.9845083301802783,6575.818916132339,8745.673595970788,,,
magnolia_000414::1,2,7764.855118078172,9566.601123857768,10573.884943694497,12029.662013607662,12936.10378092601,9964.985267757544,8962.861746701059,10355.384615384615,3,True,South,7993.0,10703.416666666666,11310.083333333334,10012.916666666666,8546.166666666666,8919.0,12.0,12.0,12.0,12.0,3.0,24268,2022,10099.52703648943,0.7792139084441944,0.9600216023210012,1.0611039213381572,1.2071931558725464,1.2981558359932295,7737.147380222841,10196.75901017268,11455.474169165054,12976.415571698773,
magnolia_000414::10,1,5663.964003077604,6807.609928661681,6891.467761218083,6896.26976795146,6873.470524796248,7051.389185861327,7051.389185861327,,0,False,South,11127.0,10447.75,9095.833333333334,9824.416666666666,10834.181818181818,,12.0,12.0,12.0,11.0,,24272,2022,6510.545334054241,0.8032408726544783,0.9654281942502272,0.9773205789060827,0.978001580423203,0.974768282337639,5199.732759699508,6701.633427569343,6853.068831822964,6670.124252156827,
magnolia_000414::11,1,6123.811203843431,7278.794583317719,7654.637058736625,8220.700533268762,8576.864949539406,7519.99843896816,7519.99843896816,6966.692307692308,1,False,South,7208.5,8266.916666666666,8880.666666666666,7824.833333333333,7899.818181818182,,12.0,12.0,12.0,11.0,,24272,2022,7260.086065560199,0.8143367652990757,0.9679250125371651,1.0179040754943214,1.0931784893291476,1.1405407885584962,5851.388867282904,7390.325986346884,8011.866821149215,8388.589045794999,
magnolia_000414::12,1,6253.0852634494695,7488.090175402351,7568.731935907326,7569.016080331229,7544.024240718721,7749.6535489324915,8869.51138437109,7883.307692307692,3,True,South,6853.0,10874.833333333334,9842.833333333334,7672.25,7351.916666666667,,12.0,12.0,12.0,12.0,,24271,2022,8852.156138280805,0.8068857819212869,0.966248378475426,0.9766542321043388,0.9766908975400397,0.973465999877879,7022.379021058355,9041.437784060925,9311.520096290626,9071.026326939864,
