source_file,n_excluded,pred_loo_y1,pred_loo_y2,pred_loo_y3,pred_loo_y4,pred_loo_y5,plateau_loo,proxy_loo,nmat_loo,pred_leaky_y1,pred_leaky_y2,pred_leaky_y3,pred_leaky_y4,pred_leaky_y5,plateau_leaky,proxy_leaky,nmat_leaky
Sonny's Express Exterior Proforma (Market share)_069f2000008N6nuAAC.xlsx,1,6071.783829322598,7255.036429519859,7630.09257987433,7612.294100684354,7638.104466947374,7684.587830917571,False,0,3836.199643315318,4557.079469455765,4779.726900013587,4759.607826249751,4776.1260025806105,4823.416577147817,False,0
Sonny's Express Exterior Proforma (modified traffic)_0695w00000HHR0tAAH.xlsx,2,2708.5251627140756,2964.3834879679525,2984.575903649549,2899.5591766319867,2872.9017540806403,3109.991493799192,True,5,2860.3260078688277,3027.5513939181747,2989.715220205762,2875.482576134648,2844.8960660365215,3150.8193825439153,True,6
Sonny's Express Exterior Proforma (traffic volume)_0695w000009kd1pAAA.xlsx,1,6032.238261287191,7675.438968965035,8298.720550556134,8436.416969761376,8458.364874031866,8190.735372557412,False,0,6386.227705710045,7603.905952643056,7983.992263886245,7956.350318926391,7983.709472172745,8050.618802501911,False,1
Sonny's Express Exterior Proforma (with vacs)_0695w00000JbgLSAAZ.xlsx,1,5727.77988196286,6639.146897690396,6925.869175105231,6881.856741245482,6863.01528762823,7056.750321520014,False,0,6824.790649846701,7419.618042679077,7487.126436032551,7330.32488793046,7303.6298709687535,7771.741342191782,False,1
"Sonny's Express Exterior Proforma - 1309 West Chester Pike, West Chester, PA 19382_0695w00000WqSN5AAN.xlsx",1,5719.747728839619,6228.009800336621,6295.269868389256,6174.767204318806,6157.784488359434,6526.0057069472305,False,1,6879.145088823055,7470.59858087348,7540.002806209885,7390.1590909757215,7369.141807875585,7823.123711689516,False,2
"Sonny's Express Exterior Proforma - 1809 E Fire Tower Rd, Greenville, NC 27858_069Uc000007cR4oIAE.xlsx",1,6795.719246121171,8371.231263629823,8560.548678997924,8604.407632827877,8576.41980074725,8719.520478149225,False,0,6199.8605968806,7394.721340241787,7461.6527251432735,7456.231607547053,7431.452597375577,7645.927224681586,False,0
"Sonny's Express Exterior Proforma - 3361 Buford Drive Buford, GA 30519_069Uc00000FA06KIAT.xlsx",1,5149.224124276371,6154.376541168272,6395.132058399569,6713.961479864091,6900.986654304822,6366.518057992637,True,9,5357.912555112051,6289.576115619457,6461.511496647574,6721.651830034708,6884.430876125403,6478.971484837296,True,9
"Sonny's Express Exterior Proforma - 3710 Washington Rd, Augusta, GA 30907 (Revisions)_069Uc00000EVSL0IAP.xlsx",1,5619.111375449266,6793.954368132891,7047.5555643453845,7310.844275037995,7443.453779128143,7046.8488219873525,False,1,4788.596873399161,5753.937570139496,5953.479469396989,6169.336266573423,6281.408619167164,5959.614134024119,False,1
"Sonny's Express Exterior Proforma - 8909 Six Forks Rd Raleigh, NC, NC 27615_069Uc00000DMO5vIAH.xlsx",1,7482.786051332639,9239.621220188392,9762.2305401247,10322.19360011352,10609.010611835723,9629.169757624735,True,8,7629.500599469388,9539.16533570477,10128.36481460424,10730.561580481915,11028.000958281438,9968.836430544185,True,9
"Sonny's Express Exterior Proforma -7989 North Hualapai Way, Las Vegas, NV 89166_0695w00000XImaiAAD.xlsx",1,6051.006137819791,7368.392162684874,7007.232170861639,6272.583438713359,6136.023546226156,7446.987375332104,False,1,5119.876635240384,6171.063658903807,5817.495929009395,5143.416545327269,5004.811929154948,6223.998795656438,False,1
"Sonny's Express Exterior Proforma 1245 Fremont St., Fenley_0695w00000QAl3eAAD.xlsx",1,5260.725193244461,7039.41701006709,7186.956290090275,6939.409019462434,6946.234968082427,7243.099284523803,False,0,5888.630817235389,7061.547149830299,6888.343378896864,6379.857967112842,6369.841696195291,7114.71424442826,False,1
Sonny's Express Exterior Proforma 1250 W Orem Drive Houston 65_0695w00000WNyLRAA1.xlsx,1,6503.023739584421,8241.23385862463,8393.945327087175,8290.741512050508,8156.07337946189,8637.787284451297,True,9,6626.217117292512,8414.5665225018,8579.718517026184,8480.764988124673,8345.188650305668,8823.354896186931,True,9
"Sonny's Express Exterior Proforma 13020 US-1, Sebastian_0695w00000RVGPpAAP.xlsx",1,7119.5140363221435,8443.432195494328,8499.27408913536,8484.021878808366,8455.717251475464,8718.679409775123,False,0,7235.523277247866,8063.450842105821,7894.432214857808,7781.964792101586,7754.809872129727,8201.162436812188,False,1
"Sonny's Express Exterior Proforma 13106 Valley Blvd., La Puente_0695w00000QAu7fAAD.xlsx",1,5840.814536759913,7432.919175837173,7347.034110036077,6844.486289079391,6769.871279455208,7577.272222864197,False,5,6013.14657891131,7353.8767793360785,7121.254806858441,6489.25347583918,6387.4455018296585,7438.730456744805,False,5
"Sonny's Express Exterior Proforma 1360 Lee St., Des Plaines_0695w00000Sjfk7AAB.xlsx",2,6887.510043219428,7955.289581807188,7916.399035786828,7861.738545629101,7835.019234022231,8163.1206572344445,False,0,4705.883056325001,5384.449104065438,5547.2924992594535,5454.254769722383,5476.14298935261,5672.212464363937,False,0
"Sonny's Express Exterior Proforma 14537 Sherman Way, Los Angeles_0695w00000QAXd4AAH.xlsx",1,10255.204627970015,15148.723401130432,16335.037300525946,16920.21117620696,17410.36253495941,15850.55489971475,True,5,9683.44477964198,14238.40453166898,15310.647171457162,15813.10345878047,16255.243529103273,14887.05994470865,True,6
