site_key,client_id,site_id,latitude,longitude,,created_date,first_hour,last_hour,hours_observed,span_days,span_years,washes_year_1,washes_year_2,washes_year_3,washes_year_4,washes_year_5
russellspeeders___1,russellspeeders,1,41.81216,-72.854344,,2017-05-16 2:17:02,2020-01-01 14:00:00,2026-07-09 18:00:00,3075,2381,6.518822724,,,7980,983,490
haffners_000014___2,haffners_000014,2,42.706932,-71.175618,,2016-09-27 20:08:34,2020-01-01 5:00:00,2026-07-09 5:00:00,28197,2381,6.518822724,,,,39800,57000
lightningfast_000039___1,lightningfast_000039,1,28.940851,-98.509841,,2017-06-01 18:18:34,2020-01-01 0:00:00,2026-07-09 23:00:00,25477,2381,6.518822724,,,15367,40603,46288
mrsuds_000017___1,mrsuds_000017,1,40.73129,-73.273396,,2016-10-05 15:57:20,2020-01-01 5:00:00,2026-07-09 19:00:00,26424,2381,6.518822724,,,,31061,46474
sandiegocarcare_000024___2,sandiegocarcare_000024,2,32.977,-117.0832,,2018-02-15 19:21:46,2020-01-01 0:00:00,2026-07-09 23:00:00,19030,2381,6.518822724,,537,6045,7718,7586
nicholasville___1,nicholasville,1,37.891331,-84.56775,,2017-05-06 11:25:20,2020-01-01 15:00:00,2026-07-09 21:00:00,16110,2381,6.518822724,,,6502,30535,28855
extremeexpress_000074___1,extremeexpress_000074,1,37.325052,-121.901106,,2018-06-04 16:01:53,2020-01-01 0:00:00,2026-07-09 3:00:00,32335,2381,6.518822724,,38259,177836,229030,227386
pcmat___1,pcmat,1,39.826933,-105.005677,,2017-07-03 21:14:30,2020-01-01 0:00:00,2026-07-09 23:00:00,21978,2381,6.518822724,,,15260,39454,36400
sandiegocarcare_000024___3,sandiegocarcare_000024,3,33.018017,-117.075317,,2018-05-03 20:29:27,2020-01-01 0:00:00,2026-07-09 23:00:00,22054,2381,6.518822724,,2301,11102,16553,15889
scrubadoo_000064___1,scrubadoo_000064,1,29.46431,-98.645129,,2018-01-25 19:58:59,2020-01-01 6:00:00,2026-07-10 0:00:00,29747,2381,6.518822724,,7536,124765,124945,121803
dirtydogs_000082___3,dirtydogs_000082,3,33.614238,-85.798509,,2019-04-18 13:49:57,2020-01-01 6:00:00,2026-07-09 0:00:00,29156,2380,6.516084873,21177,95926,111964,110776,109559
dirtydogs_000082___1,dirtydogs_000082,1,34.473611,-84.924138,,2018-06-22 12:08:05,2020-01-01 5:00:00,2026-07-09 4:00:00,28998,2380,6.516084873,,50129,136104,127044,107265
carwashpalace_000151___1,carwashpalace_000151,1,26.29024,-80.23507,,2019-04-05 19:08:49,2020-01-01 5:00:00,2026-07-09 4:00:00,25556,2380,6.516084873,12915,44271,69329,71054,57446
expressway___1,expressway,1,40.805424,-73.233131,,2017-01-23 14:02:39,2020-01-01 14:00:00,2026-07-08 19:00:00,18778,2380,6.516084873,,,1849,25545,34360
alpinecarwash_000087___1,alpinecarwash_000087,1,32.964106,-96.993033,,2018-07-02 19:06:06,2020-01-01 0:00:00,2026-07-08 0:00:00,29957,2380,6.516084873,,29124,82084,121557,125576
hurricane___1,hurricane,1,27.515375,-97.861569,,2016-10-20 14:12:26,2020-01-01 6:00:00,2026-07-09 0:00:00,26352,2380,6.516084873,,,,42053,57070
