site_key,client_id,site_id,latitude,longitude,tunnel_length_actual_ft,p25_daily_peak_volume_cars,median_daily_peak_volume_cars,p75_daily_peak_volume_cars,p90_daily_peak_volume_cars,max_daily_peak_volume_cars,washes_year_2020,washes_year_2021,washes_year_2022,washes_year_2023,washes_year_2024,washes_year_2025,washes_year_2026,created_date,name,code,address1,country,state,city,postal_code
tsunamicarwash_000122___2,tsunamicarwash_000122,2,44.225323,-88.404245,153.60000000000002,20.0,33.0,46.0,63.0,102.0,57967.0,106501.0,115906.0,97647.0,84766.0,86307.0,-1.0,2019-10-11 20:40:49,Menasha,MEN,1335 Oneida St,US,WI,Menasha,54952
snapclean___2,snapclean,2,32.590671,-96.928428,134.4,35.0,49.0,64.0,76.0,96.0,76431.0,134100.0,147999.0,136960.0,135190.0,137652.0,70915.0,2019-10-16 19:19:38,Snap Clean Cedar Hill,CHCW,619 E Belt Line Rd,US,TX,Cedar Hill,75104
totalpackagecw_000206___1,totalpackagecw_000206,1,28.077809,-81.963664,147.20000000000002,59.0,72.0,85.0,96.0,119.0,125371.0,214724.0,224719.0,235687.0,241417.0,242547.0,131338.0,2019-10-16 19:16:53,Total Package Lakeland,LAK,2820 US Hwy 98 N,US,FL,Lakeland,33805
fastpasscarwash_000225___1,fastpasscarwash_000225,1,34.648576,-120.457163,89.60000000000001,23.0,30.0,37.0,44.0,59.0,73892.0,84086.0,74371.0,63578.0,67333.0,59889.0,31523.0,2020-01-15 21:13:50,Fast Pass Car Wash,LOM,638 North H Street,US,CA,Lompoc,93436
carismacarwash_000200___1,carismacarwash_000200,1,30.893952,-102.905384,108.8,18.0,23.0,27.0,32.0,50.0,33271.0,42113.0,45134.0,45555.0,49327.0,46791.0,24560.0,2019-09-25 13:42:42,Carisma Car Wash,DEF,2407 W Dickinson Blvd,US,TX,Fort Stockton,79735
blusflexservecw_000214___1,blusflexservecw_000214,1,30.249175,-94.198114,86.4,18.0,26.0,33.0,40.0,65.0,19085.0,58023.0,72739.0,76418.0,69763.0,64531.0,33634.0,2019-11-12 14:03:34,Blu's Flex Serve Car Wash,DEF,420 S Main St,US,TX,Lumberton,77657
prestigecarwash_000212___1,prestigecarwash_000212,1,38.314417,-85.562446,118.4,34.0,51.0,65.0,80.20000000000027,110.0,52383.0,109578.0,147128.0,155931.0,159215.0,153795.0,80679.0,2019-11-12 13:51:42,Prestige Car Wash,DEF,10004 Brownsboro Rd,US,KY,Louisville,40241
zippycarwash_000145___6,zippycarwash_000145,6,35.333821,-81.897474,115.2,29.0,37.0,45.0,51.20000000000027,74.0,61933.0,94205.0,91869.0,96485.0,94587.0,95858.0,46832.0,2019-12-10 16:21:27,Forest City,FCNC,157 Plaza Dr,US,NC,Forest City,28043
caliberocala_000153___4,caliberocala_000153,4,28.837181,-82.355806,121.6,54.0,65.0,75.0,86.0,112.0,86475.0,190239.0,208749.0,211181.0,202436.0,187498.0,101887.0,2020-01-17 13:18:17,Caliber Inverness,4,2001 Hwy 44 W,US,FL,Inverness,34453
varsitycarwash_000227___1,varsitycarwash_000227,1,42.023334,-93.669375,121.6,27.0,36.0,47.0,59.0,93.0,37626.0,107820.0,91731.0,84408.0,73123.0,80869.0,47247.0,2020-01-17 13:23:59,Varsity Carwash Lincoln,VC1,3705 Lincoln Way,US,IA,Ames,50014
bulldogcarwash_000246___1,bulldogcarwash_000246,1,33.945559,-83.439595,96.0,9.0,13.0,17.0,20.0,33.0,9556.0,30239.0,27342.0,27575.0,24458.0,22108.0,11097.0,2020-05-01 21:02:23,Bulldog Car Wash,BULL,2920 Atlanta Hwy,US,GA,Athens,30606
aquawave_000292___1,aquawave_000292,1,34.076347,-84.060437,147.20000000000002,33.0,46.0,58.0,69.0,103.0,3857.0,76399.0,108691.0,131497.0,132302.0,146762.0,76889.0,2020-10-09 13:32:27,Aqua Blue Peachtree,AB1,85 Peachtree Industrial Blvd,US,GA,Sugar Hill,30518
